id,publisher,title,source_type,document_date,jurisdiction,topics,status,retrieved_at,source_url,final_url,local_path,mime_type,size_bytes,sha256,error_reason
justice-irpa-current,Department of Justice Canada,Immigration and Refugee Protection Act,pdf,,Canada,legislation;IRPA;immigration;refugee protection;inadmissibility;detention;removal,downloaded,2026-08-02T03:26:46.145330+00:00,https://laws-lois.justice.gc.ca/PDF/I-2.5.pdf,https://laws-lois.justice.gc.ca/PDF/I-2.5.pdf,documents/legislation/justice-irpa-current.pdf,application/pdf,1494623,3bbb4c4f41d8a48c2732412b7b057375228d2cf2905bf5bf7229ffc5307f9364,
justice-irpr-current,Department of Justice Canada,Immigration and Refugee Protection Regulations,pdf,,Canada,regulations;IRPR;immigration;refugee protection;detention;removal,downloaded,2026-08-02T03:26:51.904106+00:00,https://laws-lois.justice.gc.ca/PDF/SOR-2002-227.pdf,https://laws-lois.justice.gc.ca/PDF/SOR-2002-227.pdf,documents/legislation/justice-irpr-current.pdf,application/pdf,2743433,ee2d634729b9acf54f17d5fddecc1e342b1efc8f7f9188a5bb753e73627a5993,
justice-federal-courts-act-current,Department of Justice Canada,Federal Courts Act,pdf,,Canada,legislation;Federal Court;judicial review;appeal;remedies,downloaded,2026-08-02T03:26:52.285302+00:00,https://laws-lois.justice.gc.ca/PDF/F-7.pdf,https://laws-lois.justice.gc.ca/PDF/F-7.pdf,documents/court/justice-federal-courts-act-current.pdf,application/pdf,591100,3ca1b4a6d4f3c72672b0bf736fb7a1206e9636acef6a1e6990da010944c70eb4,
justice-federal-courts-rules-current,Department of Justice Canada,Federal Courts Rules,pdf,,Canada,rules;Federal Court;judicial review;motions;evidence;procedure,downloaded,2026-08-02T03:26:53.503125+00:00,https://laws-lois.justice.gc.ca/PDF/SOR-98-106.pdf,https://laws-lois.justice.gc.ca/PDF/SOR-98-106.pdf,documents/court/justice-federal-courts-rules-current.pdf,application/pdf,2368681,21716e8f8975733f3a05a9e76b70465a285d61dd0336860ca607fbf588b50f7a,
cbsa-bsf5012-detention-guide,Canada Border Services Agency,Information for People Detained Under the Immigration and Refugee Protection Act,pdf,2015,Canada,CBSA;detention;detention review;release;rights;conditions,downloaded,2026-08-02T03:26:54.420983+00:00,https://www.cbsa-asfc.gc.ca/publications/pub/bsf5012-eng.pdf,https://www.cbsa-asfc.gc.ca/publications/pub/bsf5012-eng.pdf,documents/cbsa/cbsa-bsf5012-detention-guide.pdf,application/pdf,210338,d5c5d79fe6680cb279b4ef55411014a1398d5c5f93401994b4d1106a8b9c70b1,
irb-guideline-2-detention,Immigration and Refugee Board of Canada,Chairperson's Guideline 2: Detention,html,2021-04,Canada,IRB;detention;alternatives to detention;section 248;best interests of the child,downloaded,2026-08-02T03:26:55.656998+00:00,https://www.irb-cisr.gc.ca/en/legal-policy/policies/Pages/GuideDir02.aspx,https://www.irb-cisr.gc.ca/en/legal-policy/policies/Pages/GuideDir02.aspx,documents/irb/irb-guideline-2-detention.html,text/html,184124,416f140dd1acb3a50aaa5698e0ede20bffa72631b21c22f52ff378c60dbe0039,
irb-guideline-4-gender,Immigration and Refugee Board of Canada,Chairperson's Guideline 4: Gender Considerations in Proceedings Before the IRB,html,2023-10-31,Canada,IRB;gender;gender-based violence;credibility;state protection;internal flight alternative,downloaded,2026-08-02T03:26:56.389333+00:00,https://www.irb-cisr.gc.ca/en/legal-policy/policies/Pages/GuideDir04.aspx,https://www.irb-cisr.gc.ca/en/legal-policy/policies/Pages/GuideDir04.aspx,documents/irb/irb-guideline-4-gender.html,text/html,213986,6423689136037410f454d6f4118d9fcc3174d3aa7dfecf3bc2945a58300bedae,
irb-guideline-8-accessibility,Immigration and Refugee Board of Canada,Chairperson's Guideline 8: Accessibility to IRB Proceedings,html,2023-10-31,Canada,IRB;accessibility;procedural accommodations;vulnerability;trauma;credibility,downloaded,2026-08-02T03:26:57.057229+00:00,https://www.irb-cisr.gc.ca/en/legal-policy/policies/Pages/GuideDir08.aspx,https://www.irb-cisr.gc.ca/en/legal-policy/policies/Pages/GuideDir08.aspx,documents/irb/irb-guideline-8-accessibility.html,text/html,213469,d42d000e88b6df3e1b8027206657d202498d0eae802138a9b1401b5b9e087fd8,
irb-guideline-9-sogiesc,Immigration and Refugee Board of Canada,Guideline 9: Proceedings Before the IRB Involving SOGIESC,html,2021-12-17,Canada,IRB;SOGIESC;particular social group;credibility;state protection;internal flight alternative,downloaded,2026-08-02T03:26:57.758041+00:00,https://www.irb-cisr.gc.ca/en/legal-policy/policies/Pages/GuideDir09.aspx,https://www.irb-cisr.gc.ca/en/legal-policy/policies/Pages/GuideDir09.aspx,documents/irb/irb-guideline-9-sogiesc.html,text/html,161898,002f6f6cd7e45368eccb0b45941a88e04bdcab604f4c5e888c2b9c7ba09282cb,
irb-refugee-definition-case-law,Immigration and Refugee Board of Canada,Interpretation of Convention Refugee and Person in Need of Protection in the Case Law,html,,Canada,IRB;section 96;section 97;persecution;nexus;state protection;internal flight alternative;exclusion,downloaded,2026-08-02T03:26:58.341950+00:00,https://www.irb-cisr.gc.ca/en/legal-policy/legal-concepts/Pages/RefDef.aspx,https://www.irb-cisr.gc.ca/en/legal-policy/legal-concepts/Pages/RefDef.aspx,documents/irb/irb-refugee-definition-case-law.html,text/html,77623,2c6e693cde1047bfa61fe5a3eae900edd6e47ab42914a059be78e5e4a5a2affd,
irb-credibility-assessment,Immigration and Refugee Board of Canada,Assessment of Credibility in Claims for Refugee Protection,html,,Canada,IRB;credibility;evidence;inconsistency;omission;implausibility;demeanour,downloaded,2026-08-02T03:26:59.827008+00:00,https://www.irb-cisr.gc.ca/en/legal-policy/legal-concepts/Pages/Credib.aspx,https://www.irb-cisr.gc.ca/en/legal-policy/legal-concepts/Pages/Credib.aspx,documents/irb/irb-credibility-assessment.html,text/html,941391,6e56c3f8170e682f7c435365d9075d90c3164c75664f35f0ae03c40e9932b919,
ircc-prra-overview,"Immigration, Refugees and Citizenship Canada",Pre-removal risk assessment: operational instructions and guidelines,html,,Canada,IRCC;PRRA;section 112;section 113;risk assessment;stay of removal;non-refoulement,downloaded,2026-08-02T03:27:00.427658+00:00,https://www.canada.ca/en/immigration-refugees-citizenship/corporate/publications-manuals/operational-bulletins-manuals/refugee-protection/removal-risk-assessment.html,https://www.canada.ca/en/immigration-refugees-citizenship/corporate/publications-manuals/operational-bulletins-manuals/refugee-protection/removal-risk-assessment.html,documents/ircc/ircc-prra-overview.html,text/html,32821,771352d674678cb37a8a8285fdd0e54ac0d98915b33097504942c16c7d844b3c,
ircc-prra-procedures-guidelines,"Immigration, Refugees and Citizenship Canada",PRRA processing procedures and guidelines applicable to all cases,html,,Canada,IRCC;PRRA;evidence;standard of proof;state protection;internal flight alternative;sur place,downloaded,2026-08-02T03:27:00.527730+00:00,https://www.canada.ca/en/immigration-refugees-citizenship/corporate/publications-manuals/operational-bulletins-manuals/refugee-protection/removal-risk-assessment/applications-procedures-guidelines-applicable-cases.html,https://www.canada.ca/en/immigration-refugees-citizenship/corporate/publications-manuals/operational-bulletins-manuals/refugee-protection/removal-risk-assessment/applications-procedures-guidelines-applicable-cases.html,documents/ircc/ircc-prra-procedures-guidelines.html,text/html,83213,c980f418bd715096fa7137b7d143dc9c4c9e1ef7239ea67af7a0a550a4549b61,
ircc-prra-removals-stays,"Immigration, Refugees and Citizenship Canada",PRRA removals and stays of removal,html,,Canada,IRCC;CBSA;PRRA;removal;regulatory stay;ministerial stay;country of removal,downloaded,2026-08-02T03:27:00.661294+00:00,https://www.canada.ca/en/immigration-refugees-citizenship/corporate/publications-manuals/operational-bulletins-manuals/refugee-protection/removal-risk-assessment/applications-removals-stays-removal.html,https://www.canada.ca/en/immigration-refugees-citizenship/corporate/publications-manuals/operational-bulletins-manuals/refugee-protection/removal-risk-assessment/applications-removals-stays-removal.html,documents/ircc/ircc-prra-removals-stays.html,text/html,33342,256d4299d9e04247177e9fdffa832dd20b453437bff831e81456438c28dac42c,
cbsa-immigration-detention,Canada Border Services Agency,Immigration detention in Canada,html,,Canada,CBSA;detention;grounds for detention;detention review;immigration holding centre,downloaded,2026-08-02T03:27:01.228297+00:00,https://www.cbsa-asfc.gc.ca/security-securite/idc-dic-eng.html,https://www.cbsa-asfc.gc.ca/security-securite/idc-dic-eng.html,documents/cbsa/cbsa-immigration-detention.html,text/html,22353,b5f891467a2b85acce7826ee62381bd6eaa7616a20451815b687ca97efa23f85,
cbsa-alternatives-to-detention,Canada Border Services Agency,Alternatives to detention,html,,Canada,CBSA;alternatives to detention;community supervision;bond;electronic monitoring;ReportIn,downloaded,2026-08-02T03:27:01.261815+00:00,https://www.cbsa-asfc.gc.ca/security-securite/atd-srd-eng.html,https://www.cbsa-asfc.gc.ca/security-securite/atd-srd-eng.html,documents/cbsa/cbsa-alternatives-to-detention.html,text/html,17470,703f8bbb0568dece5ea845d53e68b6ab3f80782432ca5e967e604c3c125d62db,
cbsa-enforcing-removals,Canada Border Services Agency,Enforcing removals from Canada,html,,Canada,CBSA;removal order;removal interview;travel documents;escorted removal;ADR;TSR,downloaded,2026-08-02T03:27:01.328740+00:00,https://www.cbsa-asfc.gc.ca/security-securite/rem-ren-eng.html,https://www.cbsa-asfc.gc.ca/security-securite/rem-ren-eng.html,documents/cbsa/cbsa-enforcing-removals.html,text/html,25327,c1d9953dc3184a56a99670c5bed43bef640619641c67755f98e647300caff979,
cbsa-detention-housing-minors-directive,Canada Border Services Agency,National Directive for the Detention or Housing of Minors,html,,Canada,CBSA;detention;minors;housing;best interests of the child;family unity,downloaded,2026-08-02T03:27:01.395404+00:00,https://www.cbsa-asfc.gc.ca/security-securite/detent/nddhm-dndhm-eng.html,https://www.cbsa-asfc.gc.ca/security-securite/detent/nddhm-dndhm-eng.html,documents/cbsa/cbsa-detention-housing-minors-directive.html,text/html,52423,3388bf2078827a057432ea5a5cc8d3aea404f121556b446ef2c3f0c3b52e570c,
